"country","freq","iso3"
"Argentina",1,"ARG"
"Australia",9,"AUS"
"Austria",1,"AUT"
"Belgium",3,"BEL"
"Brazil",4,"BRA"
"Canada",14,"CAN"
"China",7,"CHN"
"Cyprus",1,"CYP"
"Czech Republic",2,"CZE"
"Denmark",6,"DNK"
"France",18,"FRA"
"Germany",26,"DEU"
"Hong Kong",2,"HKG"
"Hungary",1,"HUN"
"India",2,"IND"
"Iran",1,"IRN"
"Ireland",2,"IRL"
"Israel",1,"ISR"
"Italy",8,"ITA"
"Japan",3,"JPN"
"Lebanon",1,"LBN"
"Luxembourg",1,"LUX"
"Malta",4,"MLT"
"Mexico",4,"MEX"
"Morocco",2,"MAR"
"New Zealand",8,"NZL"
"Norway",2,"NOR"
"Qatar",1,"QAT"
"Romania",1,"ROU"
"Russia",1,"RUS"
"South Africa",1,"ZAF"
"Spain",5,"ESP"
"Sweden",6,"SWE"
"Switzerland",2,"CHE"
"Thailand",1,"THA"
"United Arab Emirates",1,"ARE"
"United Kingdom",68,"GBR"
"United States",404,"USA"
"West Germany",4,"DEU"
NA,3,NA
