nconst,category,primaryName,birthYear,deathYear,knownForTitles
nm0000434,actor,Mark Hamill,1951.0,,"tt0076759,tt0086190,tt0080684,tt2527336"
nm0000434,actor,Mark Hamill,1951.0,,"tt0076759,tt0086190,tt0080684,tt2527336"
nm0000434,actor,Mark Hamill,1951.0,,"tt0076759,tt0086190,tt0080684,tt2527336"
nm0000434,actor,Mark Hamill,1951.0,,"tt0076759,tt0086190,tt0080684,tt2527336"
nm0000148,actor,Harrison Ford,1942.0,,"tt0082971,tt0106977,tt0118571,tt0090329"
nm0000148,actor,Harrison Ford,1942.0,,"tt0082971,tt0106977,tt0118571,tt0090329"
nm0000148,actor,Harrison Ford,1942.0,,"tt0082971,tt0106977,tt0118571,tt0090329"
nm0000402,actress,Carrie Fisher,1956.0,2016.0,"tt0076759,tt2527336,tt0086190,tt0080684"
nm0000402,actress,Carrie Fisher,1956.0,2016.0,"tt0076759,tt2527336,tt0086190,tt0080684"
nm0000402,actress,Carrie Fisher,1956.0,2016.0,"tt0076759,tt2527336,tt0086190,tt0080684"
nm0000402,actress,Carrie Fisher,1956.0,2016.0,"tt0076759,tt2527336,tt0086190,tt0080684"
nm0000027,actor,Alec Guinness,1914.0,2000.0,"tt0051739,tt0041546,tt0050212,tt0076759"
nm0000184,director,George Lucas,1944.0,,"tt0082971,tt0066434,tt0076759,tt0069704"
nm0000184,writer,George Lucas,1944.0,,"tt0082971,tt0066434,tt0076759,tt0069704"
nm0000184,writer,George Lucas,1944.0,,"tt0082971,tt0066434,tt0076759,tt0069704"
nm0000184,director,George Lucas,1944.0,,"tt0082971,tt0066434,tt0076759,tt0069704"
nm0000184,director,George Lucas,1944.0,,"tt0082971,tt0066434,tt0076759,tt0069704"
nm0000184,director,George Lucas,1944.0,,"tt0082971,tt0066434,tt0076759,tt0069704"
nm0000184,writer,George Lucas,1944.0,,"tt0082971,tt0066434,tt0076759,tt0069704"
nm0000184,writer,George Lucas,1944.0,,"tt0082971,tt0066434,tt0076759,tt0069704"
nm0000184,writer,George Lucas,1944.0,,"tt0082971,tt0066434,tt0076759,tt0069704"
nm0001037,actor,Graham Chapman,1941.0,1989.0,"tt0063929,tt0085959,tt0071853,tt0079470"
nm0001037,actor,Graham Chapman,1941.0,1989.0,"tt0063929,tt0085959,tt0071853,tt0079470"
