tconst,title
tt0076759,Guerra nas Estrelas
tt0076759,Guerra nas Estrelas - Uma Nova Esperança
tt0076759,"Star Wars, Episódio IV: Uma Nova Esperança"
tt0076759,Star Wars - Uma Nova Esperança
tt0079470,A Vida de Brian
tt0111161,Um Sonho de Liberdade
tt1375666,A Origem
tt0086190,"Star Wars, Episódio VI: O Retorno do Jedi"
tt0086190,O Retorno de Jedi
tt0080684,Guerra nas Estrelas 2 - O Império Contra-Ataca
tt0080684,O Império Contra-Ataca
tt0080684,"Star Wars, Episódio V: O Império Contra-Ataca"
tt0167260,O Senhor dos Anéis: O Retorno do Rei
tt0102926,O Silêncio dos Inocentes
tt0105236,Cães de Aluguel
tt0137523,Clube da Luta
tt0120737,O Senhor dos Anéis: A Sociedade do Anel
tt0110912,Pulp Fiction: Tempo de Violência
tt0167261,O Senhor dos Anéis: As Duas Torres
tt0482571,O Grande Truque
tt1504320,O Discurso do Rei
tt0068646,O Poderoso Chefão
tt0468569,Batman: O Cavaleiro das Trevas
tt0050083,Doze Homens e Uma Sentença
tt0050083,12 Homens e uma Sentença
tt0108052,A Lista de Schindler
tt0073486,Um Estranho no Ninho
tt0099685,Os Bons Companheiros
tt0109830,Forrest Gump: O Contador de Histórias
tt0114369,Seven: Os Sete Crimes Capitais
tt0064116,Era uma Vez no Oeste
tt0114814,Os Suspeitos
tt0034583,Casablanca
tt0047396,A Janela Indiscreta
tt0047396,Janela Indiscreta
tt0054215,Psicose
tt0120586,A Outra História Americana
tt0027977,Tempos Modernos
tt0027977,Os Tempos Modernos
tt1345836,Batman: O Cavaleiro das Trevas Ressurge
tt1853728,Django Livre
tt0169547,Beleza Americana
tt0032553,O Grande Ditador
tt0071562,O Poderoso Chefão: Parte 2
tt0071562,O Poderoso Chefão II
tt0407887,Os Infiltrados
tt4154756,Vingadores: Guerra Infinita
tt7286456,Coringa
tt4154796,Vingadores: Ultimato
tt4154796,Avengers: Ultimato
tt2106476,A Caça
tt0338013,Brilho Eterno de uma Mente sem Lembranças
tt0093058,Nascido para Matar
tt0066921,Laranja Mecânica
tt0208092,Snatch: Porcos e Diamantes
tt0059578,Por uns Dólares a Mais
tt0372784,Batman Begins
tt0268978,Uma Mente Brilhante
tt0117951,Trainspotting: Sem Limites
tt1205489,Gran Torino
tt2278388,O Grande Hotel Budapeste
tt2119532,Até o Último Homem
tt2119532,O Herói de Hacksaw Ridge
tt0058461,Por Um Punhado de Dólares
tt0060196,Três Homens em Conflito
tt0060196,"O Bom, o Mau e o Feio"
tt0082176,"Eu, Christiane F., 13 Anos, Drogada e Prostituída"
tt0088847,Clube dos Cinco
tt0091042,Curtindo a Vida Adoidado
tt0094291,Wall Street: Poder e Cobiça
tt1027718,Wall Street: O Dinheiro Nunca Dorme
tt0097351,O Campo dos Sonhos
tt0097351,Campo dos Sonhos
tt0102059,Top Gang! Ases Muito Loucos
tt0107144,Top Gang 2! A Missão
tt0114746,Os Doze Macacos
tt0114746,Os 12 Macacos
tt0112641,Cassino
tt0117665,Sleepers: A Vingança Adormecida
tt0117887,The Wonders: O Sonho Não Acabou
tt0147612,Felicidade
tt0120735,"Jogos, Trapaças e Dois Canos Fumegantes"
tt0147800,10 Coisas que Eu Odeio em Você
tt0139134,Segundas Intenções
tt3228774,Cruella
tt0151804,Como Enlouquecer seu Chefe
tt0144084,Psicopata Americano
tt0180093,Réquiem para um Sonho
tt0246578,Donnie Darko
tt0212985,Hannibal
tt0227984,"Baladas, Rachas e um Louco de Kilt"
tt0227984,Fórmula 51
tt0264464,Prenda-me se for Capaz
tt7131622,Era Uma Vez em... Hollywood
tt7131622,Era Uma Vez Em... Hollywood
tt0238380,Equilibrium
tt0116282,Fargo
tt0116282,Fargo: Uma Comédia de Erros
tt0116282,Fargo: Comédia de Erros
tt0121766,"Star Wars, Episódio III: A Vingança dos Sith"
tt0120915,"Star Wars, Episódio I: A Ameaça Fantasma"
tt0121765,"Star Wars, Episódio II: Ataque dos Clones"
tt0947798,Cisne Negro
