tconst,directors,writers
tt0076759,nm0000184,nm0000184
tt0079470,nm0001402,"nm0001037,nm0000092,nm0000416,nm0001385,nm0001402,nm0001589"
tt0111161,nm0001104,"nm0000175,nm0001104"
tt1375666,nm0634240,nm0634240
tt0086190,nm0549658,"nm0001410,nm0000184"
tt0080684,nm0449984,"nm0102824,nm0001410,nm0000184"
tt0167260,nm0001392,"nm0866058,nm0909638,nm0101991,nm0001392"
tt0102926,nm0001129,"nm0365383,nm0848217"
tt0105236,nm0000233,"nm0000233,nm0000812"
tt0137523,nm0000399,"nm0657333,nm0880243"
tt0120737,nm0001392,"nm0866058,nm0909638,nm0101991,nm0001392"
tt0110912,nm0000233,"nm0000233,nm0000812"
tt0167261,nm0001392,"nm0866058,nm0909638,nm0101991,nm0801728,nm0001392"
tt0482571,nm0634240,"nm0634300,nm0634240,nm1793993"
tt1504320,nm0393799,nm0782436
tt0068646,nm0000338,"nm0701374,nm0000338"
tt0468569,nm0634240,"nm0634300,nm0634240,nm0275286,nm0004170"
tt0050083,nm0001486,nm0741627
tt0108052,nm0000229,"nm0447745,nm0001873"
tt0073486,nm0001232,"nm0369142,nm0325743,nm0450181,nm0913670"
tt0099685,nm0000217,"nm0683380,nm0000217"
tt0109830,nm0000709,"nm0343165,nm0744839"
tt0114369,nm0000399,nm0001825
tt0064116,nm0001466,"nm0006872,nm0001466,nm0000783,nm0000934"
tt0114814,nm0001741,nm0003160
tt0034583,nm0002031,"nm0258493,nm0258525,nm0462321,nm0122417,nm0019706,nm0732452"
tt0047396,nm0000033,"nm0371088,nm0941280"
tt0054215,nm0000033,"nm0825010,nm0088645"
tt0120586,nm0443411,nm0571346
tt0027977,nm0000122,nm0000122
tt1345836,nm0634240,"nm0634300,nm0634240,nm0275286,nm0004170"
tt1853728,nm0000233,nm0000233
tt0169547,nm0005222,nm0050332
tt0032553,nm0000122,nm0000122
tt0071562,nm0000338,"nm0000338,nm0701374"
tt0407887,nm0000217,"nm1184258,nm0538320,nm0159039"
tt4154756,"nm0751577,nm0751648","nm1321655,nm1321656,nm0498278,nm0456158,nm0800209,nm1921680,nm3053444,nm2757098,nm0317493,nm4160687,nm1293367,nm1411347"
tt7286456,nm0680846,"nm0680846,nm0798788,nm0004170,nm0277730,nm1047603"
tt4154796,"nm0751577,nm0751648","nm1321655,nm1321656,nm0498278,nm0456158,nm0800209,nm1921680,nm3053444,nm2757098,nm0317493,nm4160687,nm1293367,nm1411347"
tt2106476,nm0899121,"nm2105585,nm0899121"
tt0338013,nm0327273,"nm0442109,nm0327273,nm1410028"
tt0093058,nm0000040,"nm0000040,nm0380282,nm0368007"
tt0066921,nm0000040,"nm0000040,nm0121256"
tt0208092,nm0005363,nm0005363
tt0059578,nm0001466,"nm0001466,nm0607694,nm0898812,nm0006872,nm0217258,nm0223964"
tt0372784,nm0634240,"nm0004170,nm0275286,nm0634240"
tt0268978,nm0000165,"nm0326040,nm0621586"
tt0117951,nm0000965,"nm0920543,nm0388076"
tt1205489,nm0000142,"nm1010405,nm3164738"
tt2278388,nm0027572,"nm0959003,nm0027572,nm2450453"
tt2119532,nm0000154,"nm0770938,nm0460795"
tt0058461,nm0001466,"nm0093501,nm8800791,nm0146033,nm0001466,nm0173549,nm0000041,nm0223964,nm0452878,nm0856319,nm0884547"
tt0060196,nm0001466,"nm0898812,nm0001466,nm0408488,nm0769249"
tt0082176,nm0248942,"nm0917833,nm0379266,nm0726072,nm0248942"
tt0088847,nm0000455,nm0000455
tt0091042,nm0000455,nm0000455
tt0094291,nm0000231,"nm0007140,nm0000231"
tt1027718,nm0000231,"nm1615610,nm0771496,nm0007140,nm0000231"
tt0097351,nm0004675,"nm0455875,nm0004675"
tt0102059,nm0000720,"nm0000720,nm0698493"
tt0107144,nm0000720,"nm0000720,nm0698493"
tt0114746,nm0000416,"nm0003408,nm0672459,nm0672466"
tt0112641,nm0000217,"nm0683380,nm0000217"
tt0117665,nm0001469,"nm0136262,nm0001469"
tt0117887,nm0000158,nm0000158
tt0147612,nm0001754,nm0001754
tt0120735,nm0005363,nm0005363
tt0147800,nm0432627,"nm0527581,nm0809006,nm0000636"
tt0139134,nm0474955,"nm0480166,nm0474955"
tt3228774,nm0318916,"nm1401416,nm1110111,nm0112459,nm0545150,nm1587813,nm0807977"
tt0151804,nm0431918,nm0431918
tt0144084,nm0366004,"nm0254735,nm0366004,nm0877587"
tt0180093,nm0004716,"nm0782968,nm0004716"
tt0246578,nm0446819,nm0446819
tt0212985,nm0000631,"nm0365383,nm0000519,nm0001873"
tt0227984,nm0950553,nm0667770
tt0264464,nm0000229,"nm0622288,nm0007646,nm1127221"
tt7131622,nm0000233,nm0000233
