tconst,episodetconst,seasonNumber,episodeNumber
tt0076759,,,
tt0079470,,,
tt0111161,,,
tt1375666,,,
tt0086190,,,
tt0080684,,,
tt0167260,,,
tt0102926,,,
tt0105236,,,
tt0137523,,,
tt0120737,,,
tt0110912,,,
tt0167261,,,
tt0482571,,,
tt1504320,,,
tt0068646,,,
tt0468569,,,
tt0050083,,,
tt0108052,,,
tt0073486,,,
tt0099685,,,
tt0109830,,,
tt0114369,,,
tt0064116,,,
tt0114814,,,
tt0034583,,,
tt0047396,,,
tt0054215,,,
tt0120586,,,
tt0027977,,,
tt1345836,,,
tt1853728,,,
tt0169547,,,
tt0032553,,,
tt0071562,,,
tt0407887,,,
tt4154756,,,
tt7286456,,,
tt4154796,,,
tt2106476,,,
tt0338013,,,
tt0093058,,,
tt0066921,,,
tt0208092,,,
tt0059578,,,
tt0372784,,,
tt0268978,,,
tt0117951,,,
tt1205489,,,
tt2278388,,,
tt2119532,,,
tt0058461,,,
tt0060196,,,
tt0082176,,,
tt0088847,,,
tt0091042,,,
tt0094291,,,
tt1027718,,,
tt0097351,,,
tt0102059,,,
tt0107144,,,
tt0114746,,,
tt0112641,,,
tt0117665,,,
tt0117887,,,
tt0147612,,,
tt0120735,,,
tt0147800,,,
tt0139134,,,
tt3228774,,,
tt0151804,,,
tt0144084,,,
tt0180093,,,
tt0246578,,,
tt0212985,,,
tt0227984,,,
tt0264464,,,
tt7131622,,,
tt0238380,,,
tt0116282,,,
tt0121766,,,
tt0120915,,,
tt0121765,,,
tt0947798,,,
tt0327056,,,
tt0758758,,,
tt0302886,,,
tt1229340,,,
tt0357413,,,
tt0361862,,,
tt0385002,,,
tt0416320,,,
tt0848228,,,
tt2584384,,,
tt0414387,,,
tt0401792,,,
tt13143964,,,
tt0443453,,,
tt0460740,,,
tt0443543,,,
tt3315342,,,
tt0765443,,,
tt2582496,,,
tt1877832,,,
tt0477348,,,
tt0833960,,,
tt1032755,,,
tt1022603,,,
tt1270798,,,
tt1276104,,,
tt1152836,,,
tt1321509,,,
tt1179034,,,
tt1403177,,,
tt0800369,,,
tt1055292,,,
tt1800241,,,
tt0443272,,,
tt5052474,,,
tt5463162,,,
tt2395427,,,
tt0458481,,,
tt1409024,,,
tt1403865,,,
tt1596363,,,
tt0985694,,,
tt2002718,,,
tt1130884,,,
tt1440292,,,
tt1037705,,,
tt0964517,,,
tt1637725,,,
tt2637276,,,
tt0918927,,,
tt1458175,,,
tt0458339,,,
tt1843866,,,
