tconst,titleType,primaryTitle,originalTitle,startYear,endYear,genres
tt0076759,movie,Star Wars: Episode IV - A New Hope,Star Wars,1977.0,,"Action,Adventure,Fantasy"
tt0079470,movie,Life of Brian,Life of Brian,1979.0,,Comedy
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,1994.0,,Drama
tt1375666,movie,Inception,Inception,2010.0,,"Action,Adventure,Sci-Fi"
tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,1983.0,,"Action,Adventure,Fantasy"
tt0080684,movie,Star Wars: Episode V - The Empire Strikes Back,The Empire Strikes Back,1980.0,,"Action,Adventure,Fantasy"
tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003.0,,"Action,Adventure,Drama"
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,1991.0,,"Crime,Drama,Thriller"
tt0105236,movie,Reservoir Dogs,Reservoir Dogs,1992.0,,"Crime,Thriller"
tt0137523,movie,Fight Club,Fight Club,1999.0,,Drama
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001.0,,"Action,Adventure,Drama"
tt0110912,movie,Pulp Fiction,Pulp Fiction,1994.0,,"Crime,Drama"
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002.0,,"Action,Adventure,Drama"
tt0482571,movie,The Prestige,The Prestige,2006.0,,"Drama,Mystery,Sci-Fi"
tt1504320,movie,The King's Speech,The King's Speech,2010.0,,"Biography,Drama,History"
tt0068646,movie,The Godfather,The Godfather,1972.0,,"Crime,Drama"
tt0468569,movie,The Dark Knight,The Dark Knight,2008.0,,"Action,Crime,Drama"
tt0050083,movie,12 Angry Men,12 Angry Men,1957.0,,"Crime,Drama"
tt0108052,movie,Schindler's List,Schindler's List,1993.0,,"Biography,Drama,History"
tt0073486,movie,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,1975.0,,Drama
tt0099685,movie,Goodfellas,Goodfellas,1990.0,,"Biography,Crime,Drama"
