tconst,parentTconst,seasonNumber,episodeNumber
tt0556311,tt0348914,3.0,1.0
tt0556305,tt0348914,3.0,2.0
tt0556294,tt0348914,3.0,3.0
tt0556281,tt0348914,3.0,4.0
tt0556282,tt0348914,3.0,5.0
tt0556283,tt0348914,3.0,6.0
tt0556284,tt0348914,3.0,7.0
tt0556285,tt0348914,3.0,8.0
tt0556290,tt0348914,3.0,9.0
tt0828738,tt0348914,3.0,10.0
tt0770857,tt0348914,3.0,11.0
tt0828739,tt0348914,3.0,12.0
tt2349740,tt2149175,1.0,1.0
tt2573020,tt2149175,1.0,2.0
tt2598996,tt2149175,1.0,3.0
tt2637674,tt2149175,1.0,4.0
tt2637678,tt2149175,1.0,5.0
tt2637676,tt2149175,1.0,6.0
tt2637680,tt2149175,1.0,7.0
tt2637682,tt2149175,1.0,8.0
tt2737870,tt2149175,1.0,9.0
tt2737872,tt2149175,1.0,10.0
tt2737876,tt2149175,1.0,12.0
tt2737880,tt2149175,1.0,13.0
tt2726822,tt2149175,2.0,1.0
tt3459856,tt2149175,2.0,2.0
tt3459862,tt2149175,2.0,3.0
tt3459860,tt2149175,2.0,4.0
tt3459858,tt2149175,2.0,5.0
tt3459866,tt2149175,2.0,6.0
tt3459864,tt2149175,2.0,7.0
tt3533366,tt2149175,2.0,8.0
tt3553756,tt2149175,2.0,9.0
tt3594864,tt2149175,2.0,10.0
tt3594870,tt2149175,2.0,11.0
tt3594868,tt2149175,2.0,12.0
tt3599846,tt2149175,2.0,13.0
tt3672866,tt2149175,3.0,1.0
tt3029774,tt0804503,7.0,1.0
tt3669680,tt0804503,7.0,2.0
tt3678086,tt0804503,7.0,3.0
tt3680402,tt0804503,7.0,4.0
tt3709284,tt0804503,7.0,5.0
tt3709286,tt0804503,7.0,6.0
tt3740788,tt0804503,7.0,7.0
tt3239886,tt0804503,7.0,8.0
tt3868862,tt0804503,7.0,9.0
tt3908430,tt0804503,7.0,10.0
tt3908436,tt0804503,7.0,12.0
tt3783560,tt0804503,7.0,13.0
tt3756834,tt0804503,7.0,14.0
tt2470504,tt0804503,6.0,1.0
tt2649564,tt0804503,6.0,2.0
tt2551222,tt0804503,6.0,3.0
tt2560864,tt0804503,6.0,4.0
tt2717848,tt0804503,6.0,5.0
tt2717850,tt0804503,6.0,6.0
tt2663614,tt0804503,6.0,7.0
tt2882250,tt0804503,6.0,8.0
tt2882248,tt0804503,6.0,9.0
tt2939966,tt0804503,6.0,10.0
tt2939964,tt0804503,6.0,11.0
tt2939970,tt0804503,6.0,12.0
tt2939968,tt0804503,6.0,13.0
tt2049166,tt0804503,5.0,12.0
tt2048448,tt0804503,5.0,1.0
tt2049168,tt0804503,5.0,2.0
tt2049169,tt0804503,5.0,3.0
tt2049170,tt0804503,5.0,4.0
tt2049171,tt0804503,5.0,5.0
tt2049172,tt0804503,5.0,6.0
tt2049174,tt0804503,5.0,8.0
tt2049164,tt0804503,5.0,10.0
tt2049165,tt0804503,5.0,11.0
tt2049167,tt0804503,5.0,13.0
tt1615656,tt0804503,4.0,1.0
tt1615661,tt0804503,4.0,2.0
tt1615662,tt0804503,4.0,3.0
tt1615663,tt0804503,4.0,4.0
tt1615664,tt0804503,4.0,5.0
tt1615665,tt0804503,4.0,6.0
tt1615666,tt0804503,4.0,7.0
tt1615667,tt0804503,4.0,8.0
tt1615668,tt0804503,4.0,9.0
tt1615657,tt0804503,4.0,10.0
tt1615658,tt0804503,4.0,11.0
tt1615659,tt0804503,4.0,12.0
tt1615660,tt0804503,4.0,13.0
tt1439792,tt0804503,3.0,1.0
tt1449612,tt0804503,3.0,2.0
tt1484415,tt0804503,3.0,3.0
tt1484416,tt0804503,3.0,4.0
tt1484417,tt0804503,3.0,5.0
tt1484435,tt0804503,3.0,6.0
tt1472778,tt0804503,3.0,7.0
