tconst,nconst,category
tt0076759,nm0000434,actor
tt0076759,nm0000148,actor
tt0076759,nm0000402,actress
tt0076759,nm0000027,actor
tt0076759,nm0000184,director
tt0079470,nm0001037,actor
tt0079470,nm0000092,actor
tt0079470,nm0001589,actor
tt0079470,nm0000416,actor
tt0079470,nm0001402,director
tt0079470,nm0001385,writer
tt0111161,nm0000209,actor
tt0111161,nm0000151,actor
tt0111161,nm0348409,actor
tt0111161,nm0006669,actor
tt0111161,nm0001104,director
tt0111161,nm0000175,writer
tt1375666,nm0000138,actor
tt1375666,nm0330687,actor
tt1375666,nm0680983,actor
tt1375666,nm0913822,actor
tt1375666,nm0634240,director
tt0086190,nm0000434,actor
tt0086190,nm0000148,actor
tt0086190,nm0000402,actress
tt0086190,nm0001850,actor
tt0086190,nm0549658,director
tt0086190,nm0001410,writer
tt0086190,nm0000184,writer
tt0080684,nm0000434,actor
tt0080684,nm0000148,actor
tt0080684,nm0000402,actress
tt0080684,nm0001850,actor
tt0080684,nm0449984,director
tt0080684,nm0102824,writer
tt0080684,nm0001410,writer
tt0080684,nm0000184,writer
tt0167260,nm0000704,actor
tt0167260,nm0001557,actor
tt0167260,nm0005212,actor
tt0167260,nm0089217,actor
tt0167260,nm0001392,director
tt0167260,nm0866058,writer
tt0167260,nm0909638,writer
tt0167260,nm0101991,writer
tt0102926,nm0000149,actress
tt0102926,nm0000164,actor
tt0102926,nm0095029,actor
tt0102926,nm0501435,actress
tt0102926,nm0001129,director
tt0102926,nm0365383,writer
tt0102926,nm0848217,writer
tt0105236,nm0000172,actor
tt0105236,nm0000619,actor
tt0105236,nm0000514,actor
tt0105236,nm0001606,actor
tt0105236,nm0000233,director
tt0105236,nm0000812,writer
tt0137523,nm0000093,actor
tt0137523,nm0001570,actor
tt0137523,nm0001533,actor
tt0137523,nm0340260,actor
tt0137523,nm0000399,director
tt0137523,nm0657333,writer
tt0137523,nm0880243,writer
tt0120737,nm0000704,actor
tt0120737,nm0005212,actor
tt0120737,nm0089217,actor
tt0120737,nm0000293,actor
tt0120737,nm0001392,director
tt0120737,nm0866058,writer
tt0120737,nm0909638,writer
tt0120737,nm0101991,writer
tt0110912,nm0000237,actor
tt0110912,nm0000235,actress
tt0110912,nm0000168,actor
tt0110912,nm0000246,actor
tt0110912,nm0000233,director
tt0110912,nm0000812,writer
tt0167261,nm0000704,actor
tt0167261,nm0005212,actor
tt0167261,nm0001557,actor
tt0167261,nm0089217,actor
tt0167261,nm0001392,director
tt0167261,nm0866058,writer
tt0167261,nm0909638,writer
tt0167261,nm0101991,writer
tt0167261,nm0801728,writer
tt0482571,nm0000288,actor
tt0482571,nm0413168,actor
tt0482571,nm0424060,actress
tt0482571,nm0000323,actor
tt0482571,nm0634240,director
tt0482571,nm0634300,writer
tt0482571,nm1793993,writer
tt1504320,nm0000147,actor
tt1504320,nm0001691,actor
tt1504320,nm0000307,actress
tt1504320,nm0001394,actor
tt1504320,nm0393799,director
tt1504320,nm0782436,writer
tt0068646,nm0000008,actor
tt0068646,nm0000199,actor
tt0068646,nm0001001,actor
tt0068646,nm0000473,actress
tt0068646,nm0000338,director
tt0068646,nm0701374,writer
tt0468569,nm0000288,actor
tt0468569,nm0005132,actor
tt0468569,nm0001173,actor
tt0468569,nm0000323,actor
tt0468569,nm0634240,director
tt0468569,nm0634300,writer
tt0468569,nm0275286,writer
