tconst,averageRating,numVotes
tt0076759,8.6,1350989
tt0079470,8.0,398157
tt0111161,9.3,2645092
tt1375666,8.8,2319402
tt0086190,8.3,1043761
tt0080684,8.7,1278383
tt0167260,9.0,1821133
tt0102926,8.6,1413817
tt0105236,8.3,1007903
tt0137523,8.8,2089735
tt0120737,8.8,1846735
tt0110912,8.9,2024164
tt0167261,8.8,1644434
tt0482571,8.5,1318325
tt1504320,8.0,678137
tt0068646,9.2,1833611
tt0468569,9.0,2616970
tt0050083,9.0,780979
tt0108052,9.0,1340799
tt0073486,8.7,999026
tt0099685,8.7,1146030
tt0109830,8.8,2047973
tt0114369,8.6,1627779
tt0064116,8.5,327734
tt0114814,8.5,1076032
tt0034583,8.5,567743
tt0047396,8.5,488249
tt0054215,8.5,665373
tt0120586,8.5,1112845
tt0027977,8.5,241248
tt1345836,8.4,1685736
tt1853728,8.4,1531048
tt0169547,8.4,1146184
tt0032553,8.4,223149
tt0071562,9.0,1256767
tt0407887,8.5,1311124
tt4154756,8.4,1058434
tt7286456,8.4,1246222
tt4154796,8.4,1104132
tt2106476,8.3,326949
tt0338013,8.3,997777
tt0093058,8.3,736862
tt0066921,8.3,823004
tt0208092,8.2,849508
tt0059578,8.2,255790
tt0372784,8.2,1454676
tt0268978,8.2,925709
tt0117951,8.1,683023
tt1205489,8.1,771534
tt2278388,8.1,799153
tt2119532,8.1,517995
tt0058461,7.9,217002
tt0060196,8.8,755052
tt0082176,7.5,25593
tt0088847,7.8,395711
tt0091042,7.8,356309
tt0094291,7.3,155821
tt1027718,6.2,103120
tt0097351,7.5,119842
tt0102059,6.7,108709
tt0107144,6.6,91425
tt0114746,8.0,615606
tt0112641,8.2,515791
tt0117665,7.5,222123
tt0117887,6.9,69287
tt0147612,7.7,70500
tt0120735,8.2,578996
tt0147800,7.3,339660
tt0139134,6.8,192204
tt3228774,7.3,230080
tt0151804,7.7,266446
tt0144084,7.6,599447
tt0180093,8.3,834881
tt0246578,8.0,795639
tt0212985,6.8,274597
tt0227984,6.3,49549
tt0264464,8.1,966901
tt7131622,7.6,720727
tt0238380,7.3,329571
tt0116282,8.1,673802
tt0121766,7.6,784832
tt0120915,6.5,799616
tt0121765,6.6,705703
tt0947798,8.0,760183
tt0327056,7.9,454961
tt0758758,8.1,620198
tt0302886,7.0,232269
tt1229340,6.3,181965
tt0357413,7.1,356562
tt0361862,7.7,388497
tt0385002,7.4,151306
tt0416320,7.6,218156
tt0848228,8.0,1378760
tt2584384,7.9,382480
tt0414387,7.8,294603
tt0401792,8.0,766972
tt13143964,6.6,140060
tt0443453,7.3,407492
tt0460740,7.1,87498
tt0443543,7.6,372240
tt3315342,8.1,751838
tt0765443,7.6,242976
tt2582496,7.7,131887
tt1877832,7.9,708700
tt0477348,8.2,961417
tt0833960,6.8,4446
tt1032755,7.2,252121
tt1022603,7.7,512670
tt1270798,7.7,689747
tt1276104,7.4,573808
tt1152836,7.0,302987
tt1321509,5.7,50390
tt1179034,6.4,117606
tt1403177,6.9,52583
tt0800369,7.0,842523
tt1055292,6.5,132504
tt1800241,7.2,477497
tt0443272,7.3,260572
tt5052474,7.1,147334
tt5463162,7.7,572584
tt2395427,7.3,854054
tt0458481,6.5,162202
tt1409024,6.8,362266
tt1403865,7.6,338309
tt1596363,7.8,427103
tt0985694,6.6,197793
tt2002718,5.6,79360
tt1130884,8.2,1291946
