tconst,episodetconst,seasonNumber,episodeNumber,titleType,primaryTitle,originalTitle,startYear,endYear,genres
tt5516154,tt5761072,1.0,1.0,tvMiniSeries,Godless,Godless,2017.0,2017.0,"Action,Drama,Western"
tt5516154,tt5807790,1.0,6.0,tvMiniSeries,Godless,Godless,2017.0,2017.0,"Action,Drama,Western"
tt5516154,tt5822200,1.0,2.0,tvMiniSeries,Godless,Godless,2017.0,2017.0,"Action,Drama,Western"
tt5516154,tt5822202,1.0,3.0,tvMiniSeries,Godless,Godless,2017.0,2017.0,"Action,Drama,Western"
tt5516154,tt5822478,1.0,4.0,tvMiniSeries,Godless,Godless,2017.0,2017.0,"Action,Drama,Western"
tt5516154,tt5822482,1.0,5.0,tvMiniSeries,Godless,Godless,2017.0,2017.0,"Action,Drama,Western"
tt5516154,tt7664718,1.0,7.0,tvMiniSeries,Godless,Godless,2017.0,2017.0,"Action,Drama,Western"
tt2699128,tt3203968,1.0,1.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt3594942,1.0,4.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt3603056,1.0,2.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt3630790,1.0,5.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt3631218,1.0,3.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt3666322,1.0,6.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt3721722,1.0,9.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt3721724,1.0,10.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt3725022,1.0,7.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt3725024,1.0,8.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt3955000,2.0,1.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt4510954,2.0,10.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt4547200,2.0,2.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt4550136,2.0,3.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt4550146,2.0,4.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt4550148,2.0,5.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt4550864,2.0,6.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
tt2699128,tt4550866,2.0,7.0,tvSeries,The Leftovers,The Leftovers,2014.0,2017.0,"Drama,Fantasy,Mystery"
